data,RPAD5,BMIN4,spread_observado,rho,var_mr,var_rw,mr_filtrado,rw_filtrado,std_mr,zscore_mr,sinal,prob_quebra
2023-01-25 00:00:00+00:00,7.989999771118164,13.510000228881836,5.007152822301718,-0.999,1.6958036350466528e-06,0.0754987715174181,0.0173650099501097,4.990375283694011,0.0141039417300641,1.2312167961594889,0,0.5807701349258423
2023-01-26 00:00:00+00:00,7.989999771118164,13.510000228881836,5.007152822301718,-0.999,1.3656863812055524e-06,0.0761192444664305,-0.0171729586716358,5.024281523777262,0.0140549631419097,-1.2218430242928744,0,0.5806952118873596
2023-01-27 00:00:00+00:00,7.989999771118164,13.489999771118164,5.011568684877927,-0.999,1.3745526629388714e-06,0.0761014030824689,0.0170036508711372,4.994603781895223,0.0140190376521486,1.2128971540732787,0,0.5807719826698303
2023-01-30 00:00:00+00:00,7.989999771118164,13.489999771118164,5.011568684877927,-0.999,1.3746484285082103e-06,0.0761012115513302,-0.0168146003984786,5.028339238274563,0.0139835157322925,-1.20245871784934,0,0.5807009935379028
2023-01-31 00:00:00+00:00,7.989999771118164,13.0,5.119754791276058,-0.999,1.397189630856377e-06,0.0761377535118473,0.0171738476312444,5.1024841793011255,0.0139503276206351,1.2310712764796392,0,0.5807682871818542
2023-02-01 00:00:00+00:00,7.989999771118164,13.0,5.119754791276058,-0.999,1.2569159849116196e-06,0.0760484743560796,-0.0169838648404059,5.136693956775435,0.0139068860965438,-1.221255766567818,0,0.5807105898857117
2023-02-02 00:00:00+00:00,7.010000228881836,13.0,4.13975524903973,-0.999,3.4317272338552044e-06,0.0795332574729838,0.0120972143839776,4.1289175077421865,0.0140273633227254,0.8624011587679636,0,0.5807970762252808
2023-02-03 00:00:00+00:00,7.010000228881836,13.0,4.13975524903973,-0.999,1.0273754649758805e-06,0.0833784240566146,-0.0119800448028953,4.151708117950088,0.0139007633119554,-0.861826400036022,0,0.5807107090950012
2023-02-06 00:00:00+00:00,7.010000228881836,13.0,4.13975524903973,-0.999,1.2632523494223396e-06,0.0829066702877217,0.0118583661198085,4.127925402992114,0.01387740016552,0.8545092004532643,0,0.5807855725288391
2023-02-07 00:00:00+00:00,6.400000095367432,13.0,3.529755115525325,-0.999,2.019157564129854e-06,0.0843866356016379,-0.0144818375394813,3.544923907308915,0.0139014597818759,-1.0417494109763916,0,0.5807230472564697
2023-02-08 00:00:00+00:00,6.400000095367432,13.0,3.529755115525325,-0.999,1.2874825457558298e-06,0.085849985638386,0.0143367011911357,3.51545255204396,0.0138469064593476,1.0353721412956762,0,0.5808043479919434
2023-02-09 00:00:00+00:00,6.400000095367432,13.0,3.529755115525325,-0.999,1.2368579645077748e-06,0.0857286116196632,-0.0141965164026722,3.54391861167648,0.0138154533388289,-1.027582378550859,0,0.5807235240936279
2023-02-10 00:00:00+00:00,6.400000095367432,13.0,3.529755115525325,-0.999,1e-06,0.085671604342964,0.014058224410027,3.515729612238811,0.0137691863099386,1.020991661640874,0,0.5807772278785706
2023-02-13 00:00:00+00:00,7.0,13.0,4.129755020157894,-0.999,1.766681886360274e-06,0.0870444277363158,-0.0113466531029374,4.140387941099398,0.0137885321165905,-0.8229050784372431,0,0.580718994140625
2023-02-14 00:00:00+00:00,7.0,13.0,4.129755020157894,-0.999,1.0083693921134292e-06,0.0885446276805042,0.0112428329482496,4.118536733680567,0.0137263010891466,0.8190722959690407,0,0.5807396173477173
2023-02-15 00:00:00+00:00,7.0,12.25,4.295346076687246,-0.999,1.0700724023668192e-06,0.0886566734420316,-0.0104448542506273,4.305581075093795,0.0136967148904731,-0.7625809790267574,0,0.5807140469551086
2023-02-16 00:00:00+00:00,7.0,12.0600004196167,4.337295718361652,0.999,1e-06,0.0857226755985048,-0.0104338052341662,4.347680469470242,0.0137170344977209,-0.7606458404620813,0,0.5807039141654968
2023-02-17 00:00:00+00:00,7.0,12.800000190734863,4.173912593120404,0.999,1e-06,0.0850270819943845,-0.0104249323943316,4.184529181508628,0.0137398289914631,-0.758738147382249,0,0.5807691216468811
2023-02-22 00:00:00+00:00,7.0,12.800000190734863,4.173912593120404,0.999,1e-06,0.0848765793831244,-0.0104145093938761,4.184327340040084,0.0137625402786049,-0.7567287130898649,0,0.5808265805244446
2023-02-23 00:00:00+00:00,7.0,12.800000190734863,4.173912593120404,0.999,1e-06,0.084782745408573,-0.0104040949863524,4.184316700640976,0.0137851688609659,-0.7547310512686287,0,0.5808923244476318
