data,RPAD5,BMIN4,spread_observado,rho,var_mr,var_rw,mr_filtrado,rw_filtrado,std_mr,zscore_mr,sinal,prob_quebra,sinal_finrl
2025-01-02 00:00:00+00:00,8.890000343322754,16.899999618530273,5.158681953751983,-0.999,1e-06,0.0991774032679393,-0.4982155198174851,5.655892256602489,0.0836400355820417,-5.956663173926917,0,0.6073437333106995,1
2025-01-03 00:00:00+00:00,8.890000343322754,16.889999389648438,5.160889885040088,-0.999,1e-06,0.0991774219774056,0.3888667262479088,4.772803151244674,0.0738409536940555,5.266274428944898,-1,0.6066332459449768,1
2025-01-06 00:00:00+00:00,8.890000343322754,16.889999389648438,5.160889885040088,-0.999,1e-06,0.0991774403454882,-0.3187409905444746,5.478989715475283,0.0668269765261054,-4.769645540075584,0,0.6064901351928711,0
2025-01-07 00:00:00+00:00,8.890000343322754,16.889999389648438,5.160889885040088,-0.999,1e-06,0.0991683804660899,0.2700300876601241,4.891403021205671,0.0614870386221996,4.391658692806695,-1,0.6060711145401001,1
2025-01-08 00:00:00+00:00,8.890000343322754,16.899999618530273,5.158681953751983,-0.999,1e-06,0.0991591783034543,-0.2343680930300198,5.392580743329011,0.0572460300540849,-4.094049715038637,0,0.6075137257575989,0
2025-01-09 00:00:00+00:00,8.890000343322754,17.889999389648438,4.940101809667618,-0.999,1e-06,0.0993537224693955,0.1942805032576584,4.746430980523641,0.0537786347974366,3.6125964147181904,-1,0.60838782787323,1
2025-01-10 00:00:00+00:00,8.890000343322754,17.889999389648438,4.940101809667618,-0.999,1e-06,0.099521658927872,-0.1739796995772666,5.113732971002209,0.0508746451639079,-3.419772246405623,0,0.6080960631370544,0
2025-01-13 00:00:00+00:00,8.890000343322754,17.979999542236328,4.920230849194509,-0.999,1e-06,0.0995171325655966,0.1565728505582735,4.763991805963628,0.0483926574166919,3.235467091837517,-1,0.608851432800293,1
2025-01-14 00:00:00+00:00,8.890000343322754,18.0,4.915814986618299,-0.999,1e-06,0.0995189591556373,-0.1432139310306019,5.058746272155701,0.0462396425490121,-3.0972110322609225,0,0.608773410320282,0
2025-01-15 00:00:00+00:00,8.890000343322754,18.0,4.915814986618299,-0.999,1e-06,0.0995189181440681,0.1318028627709174,4.784276347055702,0.0443488405120943,2.9719573555699506,-1,0.6076381802558899,1
2025-01-16 00:00:00+00:00,8.890000343322754,18.0,4.915814986618299,-0.999,1e-06,0.0987850975399552,-0.1220055825343334,5.037574177347667,0.0426595622864919,-2.859982053143716,0,0.6066424250602722,0
2025-01-17 00:00:00+00:00,8.890000343322754,18.0,4.915814986618299,-0.999,1e-06,0.0980389535499672,0.1135009140821175,4.802545028307187,0.0411378855390894,2.759036168114872,-1,0.6063805818557739,1
2025-01-20 00:00:00+00:00,7.159999847412109,16.56999969482422,3.50154150586946,-0.3235051273608727,0.0051033393101523,0.101314152721847,-0.1039459423760481,3.606641299385908,0.1003686694360638,-1.035641330706921,0,0.6067447066307068,0
2025-01-21 00:00:00+00:00,7.0,18.0,3.0258146432955453,-0.999,1e-06,0.1211347174960097,0.0557237262770294,2.9705758901620563,0.065309194219297,0.8532294257056483,0,0.6057164072990417,1
2025-01-22 00:00:00+00:00,6.900000095367432,16.700000762939453,3.2128390681992545,0.2755758258407727,1e-06,0.1213843254666058,0.0138013563925891,3.1988544457582035,0.0178892708274195,0.7714879228858945,0,0.6031411290168762,1
2025-01-23 00:00:00+00:00,6.900000095367432,16.700000762939453,3.2128390681992545,0.1720738504832742,1e-06,0.1214609876870085,0.0023706072606647,3.210458935498884,0.0033808098332002,0.7011950915975547,0,0.6021037101745605,1
2025-01-24 00:00:00+00:00,6.900000095367432,17.5,3.036208776349212,0.2308278165494511,1e-06,0.1213153710754921,0.0005484394434667,3.035804176390967,0.0015986597833933,0.3430620130460554,0,0.6005986928939819,1
2025-01-27 00:00:00+00:00,7.889999866485596,16.799999237060547,4.180760368676038,-0.4835382292832192,0.0014772926625723,0.1239553082925492,0.0132110919227145,4.166637737156643,0.0541991884484028,0.2437507331920916,0,0.591615617275238,1
2025-01-28 00:00:00+00:00,8.449999809265137,16.799999237060547,4.740760311455579,-0.999,1e-06,0.1377726012352877,-0.0012885804080427,4.741640474577455,0.0374194107090428,-0.034436149143614,0,0.5869963765144348,1
2025-01-29 00:00:00+00:00,8.920000076293945,16.799999237060547,5.210760578484388,0.0886963819960683,1e-06,0.1422347682469623,-0.0004800149229613,5.210913814882773,0.0035945015976432,-0.133541440981997,0,0.5872582793235779,1
2025-01-30 00:00:00+00:00,7.5,16.299999237060547,3.9011545398766776,-0.7199535037872329,0.0005205016697605,0.1446346137686663,-0.0044781329760376,3.906533766229303,0.0323297245511195,-0.1385144178682008,0,0.5867295265197754,1
2025-01-31 00:00:00+00:00,7.610000133514404,17.440000534057617,3.75945598110498,-0.999,1e-06,0.153824445644781,0.0034558633640114,3.756097191027304,0.0227732111267965,0.1517512547865955,0,0.5867184400558472,1
2025-02-03 00:00:00+00:00,6.739999771118164,17.440000534057617,2.8894556187087392,0.999,1e-06,0.1579125598148533,0.003446058126341,2.8865598576839644,0.0227724486152676,0.1513257614304458,0,0.5858631134033203,1
2025-02-04 00:00:00+00:00,6.699999809265137,17.440000534057617,2.849455656855712,0.5727027906682045,1e-06,0.161113598716812,0.0020039898640146,2.8474758773882654,0.0131020571155343,0.1529523071334093,0,0.5834870934486389,1
2025-02-05 00:00:00+00:00,6.349999904632568,20.0,1.934238397183174,0.999,1e-06,0.16458721850328,0.0019978107227075,1.9327959901274736,0.013127175632711,0.1521889230863415,0,0.5833900570869446,1
2025-02-06 00:00:00+00:00,6.360000133514404,22.88999938964844,1.306161222996919,0.5841616011399534,1e-06,0.1739200669343798,0.0013134656540654,1.305208250903438,0.007775185983839,0.1689304483256711,0,0.5820273756980896,1
2025-02-07 00:00:00+00:00,6.360000133514404,23.96999931335449,1.0677101184394466,0.999,1e-06,0.1766361354220998,0.0013109134086008,1.0665342503998425,0.00783164508544,0.1673867232617581,0,0.5821386575698853,1
2025-02-10 00:00:00+00:00,6.360000133514404,18.90999984741211,2.184897661910589,0.999,1e-06,0.180338506619122,0.0013154200769328,2.182963510687518,0.0078875884053817,0.1667708822173466,0,0.5815135836601257,1
2025-02-11 00:00:00+00:00,6.360000133514404,18.059999465942383,2.372567610201155,0.1121881164751228,1e-06,0.188054453848804,0.0001424463148694,2.372324551642193,0.0016644256363413,0.0855828651994101,0,0.5818608999252319,1
2025-02-12 00:00:00+00:00,6.360000133514404,18.96999931335449,2.1716504953017948,0.6197027770437364,1e-06,0.1880500853351781,8.765464591582289e-05,2.17166948658132,0.0016370259936351,0.0535450544198014,0,0.5813272595405579,1
2025-02-13 00:00:00+00:00,6.230000019073486,18.299999237060547,2.1895784082052243,0.5999289212073489,1e-06,0.1880743251255684,5.264317719216029e-05,2.1895162808778306,0.0016138780345712,0.0326190555075897,0,0.5815364718437195,1
2025-02-14 00:00:00+00:00,6.230000019073486,18.11000061035156,2.231527839319714,0.5827860788581835,1e-06,0.188120598834717,3.0815699592381905e-05,2.231474731525839,0.0015953007656275,0.0193165453539166,0,0.5812191963195801,1
2025-02-17 00:00:00+00:00,6.230000019073486,16.90999984741211,2.4964736982146105,0.6141204953623411,1e-06,0.1885048177365696,1.981491617356641e-05,2.496313463783453,0.0016070717126329,0.0123298269876849,0,0.5813723206520081,1
2025-02-18 00:00:00+00:00,6.230000019073486,16.610000610351562,2.562709952378418,0.551284473356626,1e-06,0.1890615696590735,1.11371546519353e-05,2.56266373936488,0.0015751182177441,0.0070706785855642,0,0.5811213850975037,1
2025-02-19 00:00:00+00:00,6.230000019073486,16.790000915527344,2.5229680314322,0.5857632305629885,1e-06,0.1889831239250571,6.3892505985554144e-06,2.5229826281864827,0.0015837157345508,0.0040343418071597,0,0.5812944769859314,1
2025-02-20 00:00:00+00:00,6.230000019073486,16.360000610351562,2.617906971221536,0.6149793104843233,1e-06,0.1887666259209556,4.252296312863905e-06,2.6178524879252314,0.0016032409540698,0.0026523126808041,0,0.5810290575027466,1
2025-02-21 00:00:00+00:00,6.230000019073486,16.299999237060547,2.631154558950164,0.5941100509321462,1e-06,0.1888046340966328,2.5700653855548187e-06,2.6311449523060566,0.0015982147648941,0.0016080851222301,0,0.5811226963996887,1
2025-02-24 00:00:00+00:00,6.230000019073486,16.25,2.6421937942708538,0.6040908017013931,1e-06,0.188790974941948,1.5892890514875231e-06,2.642186359612822,0.0016022479302187,0.0009919120639903,0,0.5810220241546631,1
