data,TAEE3,TAEE11,spread_observado,rho,var_mr,var_rw,mr_filtrado,rw_filtrado,std_mr,zscore_mr,sinal,prob_quebra,sinal_finrl,always_long
2025-01-02 00:00:00+00:00,10.9399995803833,32.91999816894531,-0.2898762852552092,-0.0841652603125735,0.0017079338105254,0.0001945425593131,-0.0440044051207595,-0.2430056869924837,0.0472262477278219,-0.9317785603965252,1,0.5141324400901794,1,1
2025-01-03 00:00:00+00:00,10.699999809265137,32.209999084472656,-0.2876767238452711,-0.1333054378590751,0.0015414725891945,0.0003613700159981,-0.0252637006923358,-0.2604811013810464,0.0458222774393828,-0.5513410093105159,1,0.5143628120422363,1,1
2025-01-06 00:00:00+00:00,10.890000343322754,32.68000030517578,-0.2580059485594397,-0.140231297419049,0.0015261762596884,0.0003733958044437,0.0029029203636626,-0.2608690479326757,0.0458295004623916,0.0633417413319785,0,0.5144422650337219,1,1
2025-01-07 00:00:00+00:00,11.050000190734863,33.459999084472656,-0.3640841677954771,-0.145830772014571,0.0015527382581346,0.0003694806647241,-0.0620589182129411,-0.2982668450070237,0.0461990588565568,-1.3432939923219531,1,0.5144556760787964,1,1
2025-01-08 00:00:00+00:00,10.899999618530272,33.0,-0.3571669725559516,-0.1146917498686331,0.0016087977461273,0.0003551988851207,-0.0331334960680643,-0.3216322549576664,0.0469384378851263,-0.7058926023305844,1,0.5144388675689697,1,1
2025-01-09 00:00:00+00:00,10.960000038146973,32.970001220703125,-0.2869331815430644,-0.0960941573167283,0.0016729535641536,0.0003156556267644,0.0228955951658065,-0.3109683741105813,0.0476395259649814,0.4806008183758276,0,0.5144408345222473,0,1
2025-01-10 00:00:00+00:00,10.829999923706056,32.7400016784668,-0.3384744122619221,-0.1511943093847001,0.0014979805026325,0.0003768372839712,-0.0175492759458319,-0.3200404370131,0.0455701082250233,-0.385104987224835,0,0.5142673850059509,1,1
2025-01-13 00:00:00+00:00,10.720000267028809,32.20000076293945,-0.2642655760473413,-0.1664216382491943,0.0014902981072572,0.0003599356929996,0.034135040988556,-0.30036024792425,0.0453421381543999,0.7528326271760442,0,0.5142038464546204,-1,1
2025-01-14 00:00:00+00:00,10.729999542236328,32.41999816894531,-0.3293131932342081,-0.164313988875894,0.0015254892522361,0.0003193904058842,-0.0198054458065556,-0.3086335705512524,0.0455919502422594,-0.4344066376041504,0,0.5139163732528687,-1,1
2025-01-15 00:00:00+00:00,10.789999961853027,32.599998474121094,-0.330715604581453,-0.1481995035971825,0.0015637811167044,0.0002978701495887,-0.0126458985119299,-0.3171247648970101,0.0459647487096954,-0.2751216718663916,0,0.5139361619949341,-1,1
2025-01-16 00:00:00+00:00,10.729999542236328,32.29999923706055,-0.2883784063560508,-0.145266409598573,0.0015764897413862,0.0002917461019863,0.0187329055528024,-0.3081298877671701,0.0460765620103216,0.4065604015465845,0,0.51397705078125,-1,1
