data,PLAS3,INEP3,spread_observado,rho,var_mr,var_rw,mr_filtrado,rw_filtrado,std_mr,zscore_mr,sinal,prob_quebra
2022-01-03 00:00:00+00:00,10.020000457763672,7.25,4.9297910722243135,0.999,24.48457180865602,1e-06,-2.878980541484223,7.808773682912608,4.948292751494616,-0.5818128971077219,0,0.5
2022-01-04 00:00:00+00:00,10.020000457763672,7.099999904632568,5.035105816123775,0.999,22.45349060353603,1e-06,-2.773668331790337,7.808773691714317,4.738620152463756,-0.5853324897435007,0,0.5
2022-01-05 00:00:00+00:00,10.0,6.849999904632568,5.190629819930426,0.999,23.229860931780088,1e-06,-2.6181445420336127,7.808773704407492,4.819843594723274,-0.5432011414021684,0,0.5
2022-01-06 00:00:00+00:00,10.0,6.900000095367432,5.155524793701825,0.999,22.152478211550388,1e-06,-2.653248737132671,7.8087737011187,4.7067515929081445,-0.5637112315700769,0,0.5
2022-01-07 00:00:00+00:00,10.0,6.800000190734863,5.225734511372686,0.999,23.596940401414564,1e-06,-2.58303948156834,7.808773706650843,4.857774567354486,-0.5317330900711285,0,0.5
2022-01-10 00:00:00+00:00,9.25,6.800000190734863,4.475734511372686,0.999,29.39233052420472,1e-06,-3.33303658531974,7.8087736571481585,5.42156479903292,-0.6147739091699643,0,0.5
2022-01-11 00:00:00+00:00,9.25,6.949999809265137,4.3704201022595655,0.999,24.914961866004045,1e-06,-3.4383531103734115,7.808773648712836,4.9915926528362204,-0.6888288667585367,0,0.5
2022-01-12 00:00:00+00:00,10.75,6.849999904632568,5.940629819930426,0.999,46.43861769044325,1e-06,-1.8681472679170483,7.808773714008563,6.814664631255222,-0.2741363469816044,0,0.5
2022-01-13 00:00:00+00:00,10.720000267028809,6.849999904632568,5.910630086959235,0.999,15.175578609897975,1e-06,-1.8981434130140944,7.808773709942818,3.895717643191632,-0.4872384466393228,0,0.5
2022-01-14 00:00:00+00:00,10.949999809265137,7.150000095367432,5.930000141396639,0.999,26.69568183701311,1e-06,-1.8787736352613007,7.8087737112107645,5.166886894725383,-0.363618107680903,0,0.5
2022-01-17 00:00:00+00:00,11.369999885559082,7.050000190734863,6.420209935361445,0.999,5.838503420825675,1e-06,-1.3885723016565814,7.808773873328631,2.416514590336014,-0.5746178016924374,0,0.5
2022-01-18 00:00:00+00:00,11.600000381469728,6.800000190734863,6.825734892842414,0.999,25.86433051336898,1e-06,-0.9830405733341364,7.808773903632293,5.085800906369367,-0.1932912025917086,0,0.5
2022-01-19 00:00:00+00:00,10.979999542236328,6.900000095367432,6.135524335938153,0.999,57.91562866944813,1e-06,-1.6732483510947884,7.8087738804752895,7.610300257908936,-0.2198662726028293,0,0.5
2022-01-20 00:00:00+00:00,10.979999542236328,6.900000095367432,6.135524335938153,0.999,49.54896823548352,1e-06,-1.6732495410921775,7.808773880409684,7.039176839768542,-0.2377052856008653,0,0.5
2022-01-21 00:00:00+00:00,10.979999542236328,6.900000095367432,6.135524335938153,0.999,55.11081821864334,1e-06,-1.673249541376409,7.808773880350712,7.423736361476932,-0.2253918323472792,0,0.5
2022-01-24 00:00:00+00:00,10.859999656677246,6.849999904632568,6.050629476607672,0.999,59.16720502103915,1e-06,-1.7581442545892414,7.808773877507387,7.692090051937992,-0.2285652199490675,0,0.5
2022-01-25 00:00:00+00:00,10.859999656677246,7.050000190734863,5.910209706479609,0.999,44.92359010194267,1e-06,-1.8985638483869325,7.808773871353769,6.7025842365442285,-0.2832584838002437,0,0.5
2022-01-26 00:00:00+00:00,10.699999809265137,8.100000381469727,5.013006986557608,0.999,64.17075883951141,1e-06,-2.7957654564362246,7.808773844097392,8.01073062745273,-0.3490025550048021,0,0.5
2022-01-27 00:00:00+00:00,10.899999618530272,8.149999618530273,5.177902439166825,0.999,69.82688484528056,1e-06,-2.630871641591289,7.808773848615695,8.356310919980864,-0.3148364950495779,0,0.5
2022-01-28 00:00:00+00:00,10.899999618530272,8.199999809265137,5.142797412938224,0.999,69.30797535031832,1e-06,-2.665976380171017,7.808773847555437,8.325204123409108,-0.3202295512100092,0,0.5
2022-01-31 00:00:00+00:00,10.899999618530272,8.0,5.283216848279945,0.999,69.81692892805937,1e-06,-2.525557200425728,7.808773851399647,8.355715305954966,-0.302255056323641,0,0.5
2022-02-01 00:00:00+00:00,10.899999618530272,8.149999618530273,5.177902439166825,0.999,69.47474525682574,1e-06,-2.6308712539859305,7.808773848373846,8.335214190585367,-0.3156333111340441,0,0.5
2022-02-02 00:00:00+00:00,10.109999656677246,8.0,4.49321688642692,0.999,72.77845873376125,1e-06,-3.315555999134948,7.808773829954886,8.531090790741704,-0.3886438534604657,0,0.5
2022-02-03 00:00:00+00:00,10.109999656677246,7.900000095367432,4.5634266040977804,0.999,62.46466796739124,1e-06,-3.245347335036134,7.808773832044572,7.903525815323454,-0.4106201979810092,0,0.5
2022-02-04 00:00:00+00:00,9.880000114440918,7.650000095367432,4.508951523431775,0.999,73.81771100107925,1e-06,-3.2998222288933614,7.808773830517975,8.591784700933667,-0.3840671459719854,0,0.9913193583488464
2022-02-07 00:00:00+00:00,10.039999961853027,7.349999904632568,4.879580858642808,0.999,72.8644869751323,1e-06,-2.929193485847945,7.808773840365304,8.536131519678511,-0.3431523376947998,0,0.9915888905525208
2022-02-08 00:00:00+00:00,10.039999961853027,7.300000190734863,4.914685550085068,0.999,74.51402931455496,1e-06,-2.89408833430516,7.808773841209212,8.632212037518237,-0.3352661312913267,0,0.991609513759613
2022-02-09 00:00:00+00:00,10.039999961853027,7.050000190734863,5.09021001165539,0.999,83.41998892678342,1e-06,-2.7185640405410467,7.808773845255627,9.13351220905288,-0.2976471677397532,0,0.9916250109672546
2022-02-10 00:00:00+00:00,10.010000228881836,7.400000095367432,4.814476099443016,0.999,94.09855230579277,1e-06,-2.994297444108543,7.808773839466499,9.700495330236569,-0.3086746956905674,0,0.9916531443595886
2022-02-11 00:00:00+00:00,10.100000381469728,6.949999809265137,5.220420483729294,0.999,88.16737779609213,1e-06,-2.588353821709991,7.808773848412113,9.389804904375454,-0.27565576154877,0,0.9918676018714905
2022-02-14 00:00:00+00:00,10.100000381469728,6.900000095367432,5.255525175171553,0.999,70.42858549684037,1e-06,-2.553248720314475,7.808773849316278,8.392237177472515,-0.3042393424209009,0,0.9913477301597595
2022-02-15 00:00:00+00:00,10.100000381469728,7.0,5.185315457500693,0.999,85.68133793285467,1e-06,-2.62345830522914,7.80877384765235,9.256478719199457,-0.2834186070981459,0,0.9908819198608398
2022-02-16 00:00:00+00:00,9.800000190734863,7.0,4.885315266765828,0.999,102.08687255062668,1e-06,-2.9234582786384475,7.808773841841154,10.103857377100285,-0.2893408101013253,0,0.9915273785591125
2022-02-17 00:00:00+00:00,9.800000190734863,6.849999904632568,4.990630010665289,0.999,98.74558429751856,1e-06,-2.8181439369011194,7.8087738438749055,9.937134730075478,-0.2835972353652202,0,0.9921706318855286
2022-02-18 00:00:00+00:00,9.800000190734863,7.150000095367432,4.780000522866366,-0.999,1e-06,0.2999294321138945,2.776440086643247,2.0054829904907248,0.0323846324987579,85.73325903110768,-1,0.9927260875701904
2022-02-21 00:00:00+00:00,9.800000190734863,7.150000095367432,4.780000522866366,-0.999,1e-06,0.2925293913480974,-2.7345587945904657,7.512690705466822,0.0321390721361764,-85.0851817689031,0,0.992115318775177
2022-02-22 00:00:00+00:00,9.800000190734863,7.449999809265137,4.569371369853784,-0.999,1e-06,0.2495980081507356,2.6857596589793302,1.885846725862656,0.0318610716091418,84.29596128865636,-1,0.9925693869590759
2022-02-23 00:00:00+00:00,10.100000381469728,7.650000095367432,4.728951790460585,-0.999,1e-06,0.2477099210272198,-2.6386512202604098,7.365409735227221,0.0315882772061599,-83.53260936135668,0,0.9923419952392578
2022-02-24 00:00:00+00:00,9.989999771118164,7.400000095367432,4.794475641679344,-0.999,1e-06,0.2388853773051514,2.5933648468382025,2.203252985761483,0.0313132640389307,82.82001019165416,-1,0.9921271800994873
2022-02-25 00:00:00+00:00,9.989999771118164,7.199999809265137,4.934895411807407,-0.999,1e-06,0.2340336901371022,-2.547049648928358,7.479710119059791,0.0310401710851724,-82.0565596091401,0,0.991083025932312
2022-03-02 00:00:00+00:00,9.989999771118164,7.099999904632568,5.005105129478268,-0.999,1e-06,0.233694124624059,2.5039196053307333,2.503296717694189,0.0307737752519833,81.36536985884939,-1,0.9903913736343384
2022-03-03 00:00:00+00:00,9.989999771118164,7.050000190734863,5.040209820920527,-0.999,1e-06,0.2335420918197369,-2.46133720307726,7.499425802236604,0.0305140041762951,-80.66254395381372,0,0.9891923069953918
2022-03-04 00:00:00+00:00,9.989999771118164,6.900000095367432,5.145524564819989,-0.999,1e-06,0.2327426299482241,2.4210982792923166,2.7264599354726737,0.0302599382762428,80.01002041676759,-1,0.9873144030570984
2022-03-07 00:00:00+00:00,10.479999542236328,6.849999904632568,5.670629362166754,-0.999,1e-06,0.2336270072685212,-2.3774237783361887,8.045794907990597,0.0300130453146705,-79.21301398809051,0,0.9845060706138611
