data,PLAS3,INEP3,spread_observado,rho,var_mr,var_rw,mr_filtrado,rw_filtrado,std_mr,zscore_mr,sinal
2025-05-15 00:00:00+00:00,6.0,2.3499999046325684,4.350070128196235,0.999,5.089529064706654,1e-06,-1.4797615675843443,5.829830467861082,2.256856792787858,-0.6556736662747746,1
2025-05-16 00:00:00+00:00,6.0,2.2699999809265137,4.406237902332924,0.999,4.526390450973876,1e-06,-1.4235938313790084,5.829830525534798,2.128441911151695,-0.6688431682914499,1
2025-05-19 00:00:00+00:00,6.070000171661377,2.299999952316284,4.455175158693042,0.999,2.152644111284192,1e-06,-1.3746576792948146,5.829830630914305,1.468509321311346,-0.936090537081015,1
2025-05-20 00:00:00+00:00,6.070000171661377,2.319999933242798,4.44113321515887,0.999,3.0724502257593085,1e-06,-1.3886968901329115,5.8298306069561106,1.7539460489904501,-0.7917557617762693,1
2025-05-21 00:00:00+00:00,5.800000190734863,2.289999961853028,4.192196149533615,0.999,3.557486824719097,1e-06,-1.6376270851187416,5.829830270859312,1.8871577417398415,-0.8677743512892312,1
2025-05-22 00:00:00+00:00,5.800000190734863,2.299999952316284,4.185175177766529,0.999,3.0427597591928404,1e-06,-1.6446547947106978,5.829830257253676,1.7454621955670981,-0.9422460130546407,1
2025-05-23 00:00:00+00:00,5.800000190734863,2.2799999713897705,4.199217121300701,0.999,3.0531898681639404,1e-06,-1.6306135613625672,5.829830276655479,1.7484477072906033,-0.9326064225788988,1
2025-05-26 00:00:00+00:00,6.0,2.3299999237060547,4.364112071730407,0.999,2.828612016475886,1e-06,-1.4657242522771294,5.8298305525142124,1.6830010496576384,-0.8708991908087591,1
2025-05-27 00:00:00+00:00,6.0,2.3499999046325684,4.350070128196235,0.999,3.0558672550949906,1e-06,-1.479759892818237,5.829830528264179,1.7492137582491956,-0.8459571540869554,1
2025-05-28 00:00:00+00:00,5.800000190734863,2.2799999713897705,4.199217121300701,0.999,3.216169469306944,1e-06,-1.6306084443085134,5.829830301795078,1.7944503298870478,-0.90869522390801,1
2025-05-29 00:00:00+00:00,5.800000190734863,2.220000028610229,4.241342951903217,0.999,3.1880219938358567,1e-06,-1.5884886806336147,5.82983036253506,1.7865904709595137,-0.8891174034867063,1
2025-05-30 00:00:00+00:00,5.800000190734863,2.309999942779541,4.1781542059994425,0.999,3.2397907012965694,1e-06,-1.6516740616340364,5.829830266896888,1.8010206046660973,-0.9170767160324914,1
2025-06-02 00:00:00+00:00,5.800000190734863,2.25,4.2202800366019595,0.999,3.2810538269833223,1e-06,-1.6095515227461537,5.8298303259126785,1.812440162916855,-0.888057744293096,1
2025-06-03 00:00:00+00:00,5.800000190734863,2.319999933242798,4.171133234232356,0.999,3.312866964111881,1e-06,-1.6586954863980015,5.829830252597829,1.8211956186274243,-0.9107728293614643,1
2025-06-04 00:00:00+00:00,5.800000190734863,2.369999885559082,4.136028375396926,0.999,2.1924810007622337,1e-06,-1.693800120224232,5.829830172338968,1.4820150189042107,-1.1429034784523395,1
2025-06-05 00:00:00+00:00,5.760000228881836,2.319999933242798,4.131133272379329,-0.999,1e-06,0.0663648851343091,1.3740091613956504,2.7612743896564282,0.056238122291842094,24.431988576456515,0
2025-06-06 00:00:00+00:00,5.78000020980835,2.2699999809265137,4.1862381121412735,0.999,1.8627342185589286,1e-06,1.4249582549341555,2.761277048275621,1.366044669794277,1.0431271293264157,0
2025-06-09 00:00:00+00:00,5.78000020980835,2.289999961853028,4.172196168607101,0.999,2.1424701275567637,1e-06,1.410919734058091,2.761277023261733,1.4648600476933693,0.9631771555786405,0
2025-06-10 00:00:00+00:00,5.75,2.289999961853028,4.142195958798752,0.999,1.5952584567255095,1e-06,1.3809208035589702,2.7612769471927057,1.2643592395950667,1.0921902259370797,0
2025-06-11 00:00:00+00:00,5.75,2.309999942779541,4.128154015264579,0.999,0.04565488143675094,0.019120023813310176,1.370623460064237,2.7575500440386556,0.24986674146314033,5.485417755233454,-1
2025-06-12 00:00:00+00:00,6.059999942779541,2.2799999713897705,4.459216873345379,0.999,1.606868426946579,1e-06,1.7016363941617538,2.7575597946976513,1.2742475968874434,1.3354048289502582,-1
2025-06-13 00:00:00+00:00,6.059999942779541,2.3499999046325684,4.410070070975776,0.999,0.9612590163788433,1e-06,1.652516083933559,2.7575589195916743,0.9889886375869142,1.6709151360582064,-1
2025-06-16 00:00:00+00:00,5.599999904632568,2.299999952316284,3.9851748916642338,0.999,2.1410661084996754,1e-06,1.2276392450937355,2.757555412793608,1.4689814924000948,0.8357077685764152,-1
2025-06-17 00:00:00+00:00,5.460000038146973,2.299999952316284,3.845175025178638,-0.999,1e-06,0.06719563910389759,-0.6486147772566484,4.492066662931207,0.09184904091161453,-7.061747959685332,0
2025-06-18 00:00:00+00:00,5.460000038146973,2.180000066757202,3.929426686383671,-0.999,1e-06,0.06684597459918487,0.4456508658886591,3.484978556821313,0.07489481611483113,5.950356633566907,-1
2025-06-20 00:00:00+00:00,5.460000038146973,2.180000066757202,3.929426686383671,-0.999,1e-06,0.06687933383740043,-0.33393923451509344,4.262371049195669,0.06480958966398605,-5.1526207193479525,0
2025-06-23 00:00:00+00:00,5.5,2.200000047683716,3.955384704702526,-0.999,1e-06,0.06673457607062877,0.2694856607324901,3.686664699267385,0.05791934228191506,4.65277487822294,-1
2025-06-24 00:00:00+00:00,5.5,2.0999999046325684,4.025594589766557,-0.999,1e-06,0.0666090798107672,-0.2184818421937767,4.243317872053138,0.052829748598715885,-4.1355836056181285,0
2025-06-25 00:00:00+00:00,5.449999809265137,2.0899999141693115,3.9826153707987806,-0.999,1e-06,0.06661037582077874,0.18406335913231214,3.799166648299473,0.04887837348815777,3.765742310899665,-1
2025-06-26 00:00:00+00:00,5.099999904632568,2.0799999237060547,3.639636437933298,0.999,0.45377194891418426,1e-06,-0.1593818604913945,3.799093943815685,0.6755342704087806,-0.23593452985730692,0
2025-06-27 00:00:00+00:00,5.099999904632568,2.069999933242798,3.646657409700384,-0.999,1e-06,0.06756883200476771,0.13898536688149357,3.5080733637853476,0.04737108440273287,2.9339705568039607,-1
2025-06-30 00:00:00+00:00,5.119999885559082,2.259999990463257,3.5332587596590916,-0.999,1e-06,0.06723491247403292,-0.12923761639365816,3.662281598679296,0.04447993974309901,-2.905525887402066,0
2025-07-01 00:00:00+00:00,5.119999885559082,2.190000057220459,3.5824055620286943,-0.999,1e-06,0.06685107928723964,0.11810797704905154,3.4645764893894397,0.04204643036359069,2.8089893964298316,-1
2025-07-02 00:00:00+00:00,5.300000190734863,2.200000047683716,3.7553848954373894,-0.999,1e-06,0.0670815385732496,-0.09860519113353802,3.853440049162291,0.03997818267308538,-2.466475075664764,0
2025-07-03 00:00:00+00:00,5.300000190734863,2.240000009536743,3.7273010083690448,-0.999,1e-06,0.06713776847118244,0.08879566734407753,3.638810142367275,0.038188210169334665,2.3252115495944587,-1
2025-07-04 00:00:00+00:00,5.300000190734863,2.109999895095825,3.818573808734335,-0.999,1e-06,0.06716765429360382,-0.07804143118413542,3.8962483504109824,0.036618863315058044,-2.1311811487071473,0
