data,PLAS3,INEP3,spread_observado,rho,var_mr,var_rw,mr_filtrado,rw_filtrado,std_mr,zscore_mr,sinal,prob_quebra,sinal_hibrido,sinal_luiz_ontem
2025-01-02 00:00:00+00:00,5.699999809265137,1.440000057220459,4.688978870445717,-0.999,1e-06,0.0785709696497153,-0.0083696564979264,4.697345219805805,0.0509575794017565,-0.1642475289483215,0,0.577337384223938,0,0
2025-01-03 00:00:00+00:00,5.989999771118164,1.440000057220459,4.978978832298744,-0.999,1e-06,0.0777954714136599,0.0243785269159743,4.95429097208481,0.0478433913171644,0.5095484714777788,0,0.5769341588020325,0,0
2025-01-06 00:00:00+00:00,5.989999771118164,1.4500000476837158,4.971957860531658,-0.999,1e-06,0.0780509640045095,-0.0221589741704332,4.994068739879878,0.0452435610022262,-0.4897707801855588,0,0.577568769454956,0,0
2025-01-07 00:00:00+00:00,5.989999771118164,1.3700000047683716,5.028125718364932,-0.999,1e-06,0.078049719846581,0.0226998976590974,5.005412025091915,0.0430242234103384,0.5276073769559949,0,0.5770052671432495,0,0
2025-01-08 00:00:00+00:00,5.989999771118164,1.309999942779541,5.070251632664034,-0.999,1e-06,0.07805698968538,-0.0189050556637392,5.089054487185681,0.041101102299625,-0.4599646872223113,0,0.5773212909698486,0,0
2025-01-09 00:00:00+00:00,5.989999771118164,1.3899999856948853,5.01408377483076,-0.999,1e-06,0.078055596604334,0.0151663282590193,4.999027884991972,0.0394136117853542,0.3847992501071675,0,0.5774848461151123,0,0
2025-01-10 00:00:00+00:00,5.989999771118164,1.3600000143051147,5.035146690132018,-0.999,1e-06,0.0780637392914304,-0.0132708586950479,5.048356840039444,0.0379175315128771,-0.3499926858514251,0,0.5779240727424622,0,0
2025-01-13 00:00:00+00:00,5.989999771118164,1.3600000143051147,5.035146690132018,-0.999,1e-06,0.0780637392914304,0.0123542794924305,5.022823923163882,0.0365791902624021,0.3377406499106907,0,0.5776687264442444,0,0
2025-01-14 00:00:00+00:00,5.989999771118164,1.340000033378601,5.049188633666191,-0.999,1e-06,0.0780537262057865,-0.0111065662323368,5.060248891101572,0.0353726402914847,-0.3139874813079918,0,0.5779203772544861,0,0
2025-01-15 00:00:00+00:00,6.0,1.4299999475479126,4.996000116644252,-0.999,1e-06,0.0774222226585271,0.0088202451666026,4.987271080369198,0.0342694660135906,0.2573791247025772,0,0.5782830119132996,0,0
2025-01-16 00:00:00+00:00,6.0,1.3700000047683716,5.038125947246768,-0.999,1e-06,0.0767246464550411,-0.007099536447387,5.045152365339948,0.0332547375245161,-0.2134894747598917,0,0.579127848148346,0,0
2025-01-17 00:00:00+00:00,6.0,1.3899999856948853,5.024084003712596,-0.999,1e-06,0.0767003767953881,0.00632885904942,5.017789780714689,0.0323247896801131,0.1957896435537731,0,0.5778570175170898,0,0
2025-01-20 00:00:00+00:00,5.800000190734863,1.340000033378601,4.85918905328289,-0.999,1e-06,0.0768647449545504,-0.0102275159311429,4.869604043506941,0.0314704742971116,-0.3249876641383072,0,0.5789138674736023,0,0
2025-01-21 00:00:00+00:00,5.5,1.350000023841858,4.55216789078094,-0.999,1e-06,0.0778676675725304,0.0023297667217634,4.550237643454599,0.030690181805981,0.0759124444583566,0,0.5773282051086426,0,0
2025-01-22 00:00:00+00:00,5.5,1.350000023841858,4.55216789078094,-0.999,1e-06,0.07828475396324,-0.0022302285996468,4.554392941970526,0.0299689775416222,-0.0744179075361976,0,0.5786290764808655,0,0
2025-01-23 00:00:00+00:00,5.5,1.3300000429153442,4.566209834315113,-0.999,1e-06,0.0782740207607951,0.0024372234415926,4.5637609243320725,0.0292964600814842,0.0831917383470147,0,0.5767050981521606,0,0
2025-01-24 00:00:00+00:00,5.5,1.559999942779541,4.404727399975547,-0.999,1e-06,0.0783646566651335,-0.0057026949836718,4.410621109764341,0.028668231930634,-0.198920358865176,0,0.5779619812965393,0,0
2025-01-27 00:00:00+00:00,6.0,1.4500000476837158,4.981958089413494,0.999,3.031601075588186,1e-06,0.5712989884634757,4.41064006824335,1.7414415391803626,0.3280609630641788,0,0.5746779441833496,0,0
2025-01-28 00:00:00+00:00,6.0,1.409999966621399,5.010042060178424,-0.999,1e-06,0.0804746777903253,-0.5439075910687798,5.552562289369381,0.0311963969260883,-17.434949053809845,1,0.5794190764427185,0,0
2025-01-29 00:00:00+00:00,6.0,1.440000057220459,4.98897906118058,0.999,0.1764378824358886,1e-06,-0.5635603849685046,5.552550892982544,0.4214334698077121,-1.3372463872545313,1,0.5769007205963135,1,1
2025-01-30 00:00:00+00:00,6.0,1.440000057220459,4.98897906118058,0.999,0.2579122061310153,1e-06,-0.563571604295069,5.552550888249135,0.5090006111016492,-1.1072120386561222,1,0.5778717994689941,0,1
2025-01-31 00:00:00+00:00,6.199999809265137,1.4299999475479126,5.195999925909389,0.999,0.6166970622604387,1e-06,-0.3565851221793017,5.552551581108898,0.7860454832464271,-0.4536443879895834,1,0.5845757126808167,0,1
2025-02-03 00:00:00+00:00,6.5,1.4199999570846558,5.503021088411338,-0.999,1e-06,0.0809680691505177,0.3455986489425742,5.157897309149523,0.0333385206027509,10.366346277346718,0,0.5885148048400879,0,1
2025-02-04 00:00:00+00:00,6.5,1.440000057220459,5.48897906118058,-0.999,1e-06,0.0804560714887883,-0.3276382507379149,5.815822408231206,0.0324426173386584,-10.099007959740124,1,0.5865402221679688,0,0
2025-02-05 00:00:00+00:00,6.5,1.4299999475479126,5.496000116644252,-0.999,1e-06,0.0804515457990842,0.311306239902459,5.185456610269084,0.0316153152850079,9.846690981762276,0,0.5883027911186218,1,1
2025-02-06 00:00:00+00:00,7.400000095367432,1.409999966621399,6.410042155545856,0.698839030165411,0.0186114810800562,0.0651242429106435,0.4381128760549828,5.970730783307233,0.1835210844807153,2.3872618086071755,-1,0.589303195476532,0,0
2025-02-07 00:00:00+00:00,7.400000095367432,1.4199999570846558,6.40302118377877,-0.999,1e-06,0.0867344506576229,-0.2597854642643988,6.662215082651655,0.0942948538257011,-2.755033320743019,0,0.5911906361579895,0,-1
2025-02-10 00:00:00+00:00,7.400000095367432,1.409999966621399,6.410042155545856,0.999,0.5612863044317623,1e-06,-0.2521754067250397,6.662216252757226,0.7552064593901181,-0.3339158498838701,0,0.5924713611602783,0,0
2025-02-11 00:00:00+00:00,7.400000095367432,1.4700000286102295,6.367916241246753,-0.999,1e-06,0.0859809192259171,0.1714106499802531,6.19695350611084,0.0799056472958124,2.1451631490536225,-1,0.5903645753860474,0,0
2025-02-12 00:00:00+00:00,7.400000095367432,1.5199999809265137,6.332811382411324,0.6215641217357604,1e-06,0.0630981236880503,0.1058616914010625,6.226904030286276,0.0493327969979252,2.145868425127297,-1,0.5928629040718079,0,-1
2025-02-13 00:00:00+00:00,7.400000095367432,1.6399999856948853,6.248559637509705,-0.999,1e-06,0.0501021481646655,-0.0954381239669883,6.343785527406212,0.0451240776172891,-2.1150155084925566,0,0.5936626195907593,0,-1
