data,TAEE3,TAEE11,spread_observado,rho,var_mr,var_rw,mr_filtrado,rw_filtrado,std_mr,zscore_mr,sinal
2022-01-03 00:00:00+00:00,12.170000076293944,36.47999954223633,-0.2742857446061642,0.15519094519237164,0.0023849564287567026,0.00032156165768130367,-0.04515947915693597,-0.22746860568068789,0.05482777253176533,-0.8236606572111262,1
2022-01-04 00:00:00+00:00,12.25,36.65999984741211,-0.25568865186405,0.11459238534255611,0.0022267147190886947,0.000442453979295081,-0.02072955566934835,-0.23424308103627012,0.0547293552472071,-0.3787648433955597,1
2022-01-05 00:00:00+00:00,12.130000114440918,36.290000915527344,-0.24947218546098782,0.09484451236320224,0.0021556181196856895,0.0004874041151477059,-0.010270887518775302,-0.23880508347643792,0.05482417844389058,-0.18734229696277108,1
2022-01-06 00:00:00+00:00,12.020000457763672,36.209999084472656,-0.33218111669052064,0.10498278709985129,0.0022522297587748126,0.00040552917930213213,-0.059819900894485335,-0.2696653214363089,0.05592029222607041,-1.0697351267881412,1
2022-01-07 00:00:00+00:00,12.130000114440918,36.2400016784668,-0.2324161327028733,0.08087061902259024,0.0022384334755780584,0.00041995834443112143,0.02152814566065174,-0.2551545232443555,0.055837338073873144,0.3855510739457148,0
2022-01-10 00:00:00+00:00,12.109999656677246,36.16999816894531,-0.22853655505308978,0.13262556465143518,0.0024184850644858847,0.0002841908242465041,0.01886101531759277,-0.2480858056844717,0.05732335757737361,0.32902844694912803,0
2022-01-11 00:00:00+00:00,12.039999961853027,36.08000183105469,-0.2678361356887482,0.1207737693225917,0.002376318923723873,0.0003275214674700543,-0.012345528990396228,-0.2548526796461739,0.056951937589871875,-0.21677100925520948,0
2022-01-12 00:00:00+00:00,12.029999732971191,36.150001525878906,-0.30171509869062696,0.13199417406866298,0.0024093181695649005,0.0003152343789256263,-0.03194422772416016,-0.2684634839689707,0.057269158482498035,-0.5577911142857565,0
2022-01-13 00:00:00+00:00,12.09000015258789,36.06999969482422,-0.21442395362621447,0.1244492041220432,0.002435614424393264,0.00030049538825304735,0.035151309785979266,-0.251240861632616,0.057449202919211906,0.6118676674315375,0
2022-01-14 00:00:00+00:00,12.039999961853027,36.04999923706055,-0.25760146299914943,0.11824456326854217,0.002417220943536579,0.0003122500594975558,-0.0029002628699888846,-0.25439898921660975,0.057269355715206145,-0.05064249167410849,0
2022-01-17 00:00:00+00:00,12.079999923706056,36.130001068115234,-0.24489222659383358,0.12379806552316712,0.002404402886673626,0.0003276229956630174,0.006227507973432355,-0.2514037423439764,0.057216522458419065,0.1088410778190525,0
2022-01-18 00:00:00+00:00,12.09000015258789,36.2400016784668,-0.27241609455590066,0.10542252457384511,0.0023324334619418564,0.0003916444711573358,-0.013330015710716007,-0.2584665165546656,0.05672209577345009,-0.23500569802562526,0
2022-01-19 00:00:00+00:00,12.25,36.83000183105469,-0.3136807927937362,0.1242959677881701,0.0024142158477202043,0.0003298924726291689,-0.037178831052108646,-0.2749747355000611,0.0574407620313813,-0.6472551849468317,0
2022-01-20 00:00:00+00:00,12.59000015258789,37.65999984741211,-0.2568147596121051,0.12847535305059285,0.0024154523273439282,0.0003064245349488192,0.010565001483246588,-0.2680396544253897,0.057362792548039165,0.18417864636556527,0
2022-01-21 00:00:00+00:00,12.65999984741211,37.95000076293945,-0.28574199259572985,0.12252329649521371,0.002394327338973534,0.0003188182462003906,-0.011355589111127835,-0.27383841373568524,0.057136561294268,-0.19874470660989954,0
2022-01-24 00:00:00+00:00,12.65999984741211,38.06999969482422,-0.32667677947388896,0.1285823798707923,0.0024273868792988183,0.0002925951690662468,-0.03616511319013182,-0.28902755635399113,0.05735497985352899,-0.6305487907499738,0
2022-01-25 00:00:00+00:00,12.710000038146973,38.02000045776367,-0.25962053598091117,0.12433856147437157,0.0023304928482637925,0.0003454136666739601,0.017786035188503437,-0.2783991143999458,0.05655802760377664,0.3144741063656856,0
2022-01-26 00:00:00+00:00,12.600000381469728,37.7599983215332,-0.28092663624649816,0.16644450909795414,0.002399273544336008,0.0002829384080328622,-0.0007650088365591412,-0.2799989279887804,0.057168531991482974,-0.013381642136151282,0
2022-01-27 00:00:00+00:00,12.59000015258789,37.59999847412109,-0.23634671552631836,0.10441880902347236,0.002173344465824735,0.0004750926821069355,0.026755880955845125,-0.2643809946760835,0.05538978534552987,0.483047204262264,0
2022-01-28 00:00:00+00:00,12.640000343322754,37.77999877929688,-0.2477493557554027,0.18330002822574368,0.0024888842703869526,0.00014327948583134353,0.013248026932724331,-0.26135000222090377,0.05765707454755288,0.22977279087925234,0
2022-01-31 00:00:00+00:00,12.8100004196167,38.27999877929688,-0.24831240962943113,0.13820032996806167,0.002333001455371468,0.0002425065225868466,0.009518213904087643,-0.2581732984825982,0.05606361622434727,0.16977524007725495,0
2022-02-01 00:00:00+00:00,12.65999984741211,37.7599983215332,-0.22092717030411713,0.1504085975916779,0.002341972502366805,0.00022789009404427076,0.0263275771508775,-0.24836184104704215,0.05602743260479052,0.4699051148138173,0
2022-02-02 00:00:00+00:00,12.65999984741211,37.7400016784668,-0.2141057902356014,0.13232228483963376,0.0022772048435903817,0.0002771666964561364,0.024389568364487482,-0.239447838524542,0.05547272755787157,0.43966773292413325,0
2022-02-03 00:00:00+00:00,12.649999618530272,37.959999084472656,-0.29915291151182544,0.13392592081484236,0.002326824263426071,0.0002470250750774899,-0.04015390655056013,-0.2570633024122608,0.055868666808896926,-0.7187196123349364,0
2022-02-04 00:00:00+00:00,12.56999969482422,37.59000015258789,-0.25293648325573237,0.12571381734743062,0.002315478335318375,0.0002432473456534215,0.0012814987052039524,-0.25450094551596486,0.055681105784354507,0.023014965079304027,0
2022-02-07 00:00:00+00:00,12.6899995803833,37.880001068115234,-0.23186352550449563,0.1528263764021193,0.002418277381753504,0.00015913789060666367,0.01641120558760909,-0.2489715071134398,0.05633248794367159,0.2913275480397583,0
2022-02-08 00:00:00+00:00,12.56999969482422,37.630001068115234,-0.266581845979589,0.13422536676422903,0.0023485944966740173,0.00021518269110478057,-0.011848797652156557,-0.25411418433595007,0.0556821971057136,-0.2127932852516831,0
2022-02-09 00:00:00+00:00,12.619999885559082,37.84000015258789,-0.28821785760485774,0.14899100787171354,0.0024139433003387443,0.00015857479706250614,-0.025353211255708278,-0.26185193287470937,0.056086171749646446,-0.452040324108377,0
2022-02-10 00:00:00+00:00,12.619999885559082,37.88999938964844,-0.30527391036297225,0.14603477859209765,0.0023942498187868658,0.00018442907635779797,-0.03255937158212762,-0.27146729245428425,0.05588557358720855,-0.5826078089959879,0
2022-02-11 00:00:00+00:00,12.5600004196167,37.58000183105469,-0.2595250684289958,0.1461673709708608,0.0023641575772089,0.0001753142827286844,0.007373931422012447,-0.2674302651201271,0.0555407203208739,0.1327662187204493,0
2022-02-14 00:00:00+00:00,12.520000457763672,37.5,-0.2722343048343099,0.16730949754266158,0.0024014862051512276,0.00014020395557776252,-0.003246877289110114,-0.268793734172454,0.05573591313664883,-0.058254671115725354,0
2022-02-15 00:00:00+00:00,12.600000381469728,37.81999969482422,-0.3013946803322831,0.03991002764938049,0.0018942930704131612,0.0004843316910180869,-0.019829123794502947,-0.28051224085853005,0.0515274880239251,-0.38482612979883557,0
2022-02-16 00:00:00+00:00,12.510000228881836,37.459999084472656,-0.2685891709922892,0.08194157413546485,0.00200254945415093,0.0003699647906074753,0.006900987633190321,-0.275927315312067,0.052752939743953134,0.1308171197033878,0
2022-02-17 00:00:00+00:00,12.5,37.41999816894531,-0.2649440371502685,0.07743193730689296,0.001993870597741814,0.00036640256656894415,0.007072739601691863,-0.27235328639610257,0.05269338665082327,0.1342244264647461,0
2022-02-18 00:00:00+00:00,12.619999885559082,37.869998931884766,-0.2984512290010439,0.03703983707692534,0.0018273217233844598,0.0004812724773975447,-0.01500586029811553,-0.2825979661467293,0.05110918329355284,-0.2936039930813851,0
2022-02-21 00:00:00+00:00,12.619999885559082,37.970001220703125,-0.3325646358106855,0.0822107798178233,0.001861450843410175,0.00046332611858941803,-0.029858751197720516,-0.3011217575207223,0.05164108531272027,-0.5781975924190286,0
2022-02-22 00:00:00+00:00,12.890000343322754,38.869998931884766,-0.3695770315733178,-0.0805237260670609,0.0014267763770328776,0.0007515726582601608,-0.030756432166794166,-0.3365982039392782,0.046481130699996015,-0.6616971597637319,0
2022-02-23 00:00:00+00:00,13.109999656677246,39.7599983215332,-0.45317988171087187,-0.04647634115714475,0.0013873887353859909,0.0008378121809985005,-0.05218374595448001,-0.3972229481425485,0.04616101107477939,-1.130472334541026,0
