data,PLAS3,INEP4,spread_observado,rho,var_mr,var_rw,mr_filtrado,rw_filtrado,std_mr,zscore_mr,sinal,prob_quebra
2022-02-02 00:00:00+00:00,10.109999656677246,7.550000190734863,4.152228090896226,0.999,93.4754779313772,1e-06,2.8235850954099773,1.3286436259245185,9.668295778520168,0.2920457917395402,-1,0.5
2022-02-03 00:00:00+00:00,10.109999656677246,7.599999904632568,4.112772876825836,0.999,76.43853938919416,1e-06,2.784129299479317,1.3286436252702014,8.742940335993568,0.3184431315420754,-1,0.5
2022-02-04 00:00:00+00:00,9.880000114440918,7.449999809265137,4.001139729353471,0.999,76.48097598626794,1e-06,2.6724962483492307,1.3286436233256196,8.745366962901965,0.3055899494767935,-1,0.7906535267829895
2022-02-07 00:00:00+00:00,10.039999961853027,7.099999904632568,4.437327580363899,0.999,78.97242648713062,1e-06,3.108683393728062,1.328643630924042,8.886669500813229,0.349814223815073,-1,0.789776086807251
2022-02-08 00:00:00+00:00,10.039999961853027,7.0,4.516238384781076,0.999,73.44027210893321,1e-06,3.1875946406465028,1.3286436324522266,8.56975737337276,0.3719585633253437,-1,0.7903017997741699
2022-02-09 00:00:00+00:00,10.039999961853027,6.849999904632568,4.63460477954504,0.999,70.31698844312909,1e-06,3.305960971860298,1.3286436348193271,8.385550594484922,0.3942449496440448,-1,0.7907897233963013
2022-02-10 00:00:00+00:00,10.010000228881836,7.099999904632568,4.407327847392708,0.999,88.15310910228634,1e-06,3.0786844701246183,1.3286436313377308,9.389013815723844,0.3279028586547316,-1,0.7924929857254028
2022-02-11 00:00:00+00:00,10.100000381469728,6.75,4.773516003578918,0.999,83.39408169197355,1e-06,3.4448719233729395,1.3286436374099313,9.132061871315468,0.3772282724226339,-1,0.7946585416793823
2022-02-14 00:00:00+00:00,10.100000381469728,6.800000190734863,4.734060413232132,0.999,66.12188050896198,1e-06,3.405416831029864,1.3286436366625558,8.131565276039415,0.4187898289477319,-1,0.7994146943092346
2022-02-15 00:00:00+00:00,10.100000381469728,6.900000095367432,4.655149608814955,0.999,81.2418670731881,1e-06,3.3265060663676054,1.328643635386197,9.01345335610858,0.3690601077014696,-1,0.8032054901123047
2022-02-16 00:00:00+00:00,9.800000190734863,6.800000190734863,4.4340602224972665,0.999,93.8095457892928,1e-06,3.105416822433908,1.3286436321959263,9.68555734683692,0.3206234511066176,-1,0.8031302094459534
2022-02-17 00:00:00+00:00,9.800000190734863,6.849999904632568,4.394605008426876,0.999,89.27388448753572,1e-06,3.065961417508283,1.328643631635928,9.448511037041971,0.3244914892397837,-1,0.8020026683807373
