data,PLAS3,INEP4,spread_observado,rho,var_mr,var_rw,mr_filtrado,rw_filtrado,std_mr,zscore_mr,sinal,prob_quebra,sinal_finrl
2025-01-02 00:00:00+00:00,5.699999809265137,1.309999942779541,4.666267330709125,-0.999,1e-06,0.0783423666680153,0.2138434086954392,4.452970137741612,0.0363936808304363,5.875838986767186,0,0.5845057368278503,-1
2025-01-03 00:00:00+00:00,5.989999771118164,1.2899999618530271,4.972049453445588,0.999,1.5976254803816912,1e-06,0.5190412834380296,4.452989053427756,1.2645723912391715,0.4104480589912405,0,0.5849770307540894,-1
2025-01-06 00:00:00+00:00,5.989999771118164,1.3300000429153442,4.940485037609617,0.999,1.0822053415883188,1e-06,0.4874989200809865,4.452988983944195,1.0410207504382152,0.4682893399346506,0,0.585719108581543,-1
2025-01-07 00:00:00+00:00,5.989999771118164,1.340000033378601,4.9325939571679,0.999,1.042501454973107,1e-06,0.4796057007196849,4.452988966761055,1.0217736128195072,0.4693854829508165,0,0.5881116986274719,-1
2025-01-08 00:00:00+00:00,5.989999771118164,1.2999999523162842,4.96415837300387,0.999,1.0581384676019308,1e-06,0.5111663052719339,4.452989040034444,1.0293975561588835,0.4965684076221346,0,0.5899147987365723,-1
2025-01-09 00:00:00+00:00,5.989999771118164,1.399999976158142,4.885247474517594,0.999,1.13985689112501,1e-06,0.4322654775273558,4.452988873546191,1.068353290280751,0.4046091133521584,0,0.5905790328979492,-1
2025-01-10 00:00:00+00:00,5.989999771118164,1.3300000429153442,4.940485037609617,0.999,1.1861392137314872,1e-06,0.4874913584297424,4.452988987190082,1.089799098831451,0.4473222256766961,0,0.5913109183311462,-1
2025-01-13 00:00:00+00:00,5.989999771118164,1.2899999618530271,4.972049453445588,0.999,1.1481391905476055,1e-06,0.5190576070539576,4.45298905483167,1.0722234153068229,0.4840946389008174,0,0.5932186841964722,-1
2025-01-14 00:00:00+00:00,5.989999771118164,1.3300000429153442,4.940485037609617,0.999,1.1754979714789666,1e-06,0.4874986871325673,4.45298899082742,1.0849068317007144,0.4493461308270663,0,0.5955126285552979,-1
2025-01-15 00:00:00+00:00,6.0,1.409999966621399,4.887356622957712,-0.999,1e-06,0.0772680388882333,-0.4543688621944389,5.340617560855001,0.0376753846754836,-12.06009881805159,1,0.5984820127487183,-1
2025-01-16 00:00:00+00:00,6.0,1.4600000381469729,4.847901126680024,0.999,1.6536935681621328,1e-06,-0.4927117712664228,5.340615244041811,1.2865868696295495,-0.3829603603900376,1,0.5993027091026306,1
2025-01-17 00:00:00+00:00,6.0,1.440000057220459,4.863683287563459,0.999,1.6759021358673991,1e-06,-0.4769328915080977,5.3406152670092535,1.2951893114622353,-0.3682341162695767,1,0.6008248925209045,1
2025-01-20 00:00:00+00:00,5.800000190734863,1.440000057220459,4.6636834782983225,0.999,2.0395511675328453,1e-06,-0.676921713243952,5.340615019983855,1.4286935939193102,-0.4738046815111451,1,0.6039459109306335,1
2025-01-21 00:00:00+00:00,5.5,1.350000023841858,4.434703105608018,0.999,1.2567641375206398,1e-06,-0.9058931834039068,5.340614560573572,1.1217750897938934,-0.8075533069381572,1,0.6108850240707397,1
2025-01-22 00:00:00+00:00,5.5,1.3700000047683716,4.418920944724583,0.999,0.7386236162624764,1e-06,-0.9216912977663548,5.340614503694737,0.8603719108357538,-1.0712707913384063,1,0.6222462058067322,1
